title,yearOn,yearOff,category,scale
Versaille,1631,1700,art,year
Taj Mahal,1632,1643,art,year
Spinoza,1632,1677,person,year
John Locke,1632,1704,person,year
Ludwig XIV.,1638,1715,person,year
Remrandt -Nachtwache,1640,1642,art,year
Velazquez - Dame mit Faecher,1640,1642,art,year
Isaac Newton,1643,1727,person,year
Quing Dy.,1644,1911,epoch,year
Hobbes Leviathan,1651,1653,art,year
Vermeer - Maedchen mit Perlenohrringen,1663,1665,art,year
Peter der Große,1672,1725,person,year
Antonio Vivaldi,1678,1741,person,year
Georg Telemann,1681,1767,person,year
Johann Sebastian Bach,1685,1750,person,year
Georg Händel,1685,1759,person,year
Montesquieu,1689,1755,person,year
piano,1700,,invention,year
David Hume,1711,1776,person,year
steamengine,1712,,invention,year
Rousseau,1712,1778,person,year
Defoe - Robinson Crusoe,1719,1721,art,year
Aufklärung,1720,1782,epoch,year
Rokoko,1725,1783,epoch,year
George Washington,1732,1799,person,year
Linne - Systema Naturae,1734,,invention,year
Empfindsamkeit,1740,1790,epoch,year
de Sade,1740,1814,person,year
Immanuel Kant,1742,1804,person,year
Goethe,1749,1832,person,year
Wolfgang Amadeus Mozart,1756,1791,person,year
England conquers Montreal,1759,,event,year
Schiller,1759,1805,person,year
Sturm und Drang,1767,1785,epoch,year
Napoleon,1769,1821,person,year
Humboldt,1769,1859,person,year
Beethoven,1770,1827,person,year
Declaration of Independence,1776,1780,event,year
Bernd von Kleist,1777,1811,person,year
Industrial Revolution,1780,1914,epoch,year
Schillr - Raeuber,1781,1783,art,year
Classics,1786,1820,epoch,year
Josef von Eichendorff,1788,1857,person,year
Brandenburger Turm,1789,1793,art,year
Französische Rev,1789,1795,event,year
Romantik,1793,1835,epoch,year
Schiller - Maria Stuart,1800,1802,art,year
David - Napoleon,1803,1805,art,year
Schiller - Wilhelm Tell,1804,1806,art,year
steam train,1804,,invention,year
Eduard Moerike,1804,1875,person,year
Runge - Der Morgen,1808,1810,art,year
Goethe - Faust 1,1808,1810,art,year
Kleist - Kohlhaas,1808,1810,art,year
electric light,1808,,invention,year
typewriter,1808,,invention,year
Darwin,1809,1882,person,year
Edgar Allan Poe,1809,1849,person,year
Felix Mendelssohn Bartholdy,1809,1847,person,year
food can,1810,,invention,year
Frederic Chopin,1810,1849,person,year
Biedermeier,1815,1848,epoch,year
Wiener Kongress,1815,1817,event,year
bike,1817,,invention,year
David Friedrich - Der Wanderer ueber dem Nebelmeer,1818,1820,art,year
Marx,1818,1883,person,year
Robert Schumann,1818,1856,person,year
Goya - Saturn frisst seinen Sohn,1819,1823,art,year
Victoria,1819,1901,person,year
electromotor,1822,,invention,year
Mendel,1822,1884,person,year
David Friedrich - Mann und Frau erwaegen den Mond,1824,1826,art,year
Junges Deutschland,1825,1848,epoch,year
Vormärz,1825,1848,epoch,year
Dekabristenaufstand in Russland,1825,1827,event,year
electromagnet,1825,,invention,year
marine propeller,1826,,invention,year
matches,1826,,invention,year
Delacroix - Tod des Sardanapalus,1827,1829,art,year
Goethe - Zauberlehrling,1827,1829,art,year
evaporated milk,1827,,invention,year
Polen wird russfiziert,1830,1832,event,year
Kaiser Franz,1830,1916,person,year
poststamp,1834,,invention,year
relay,1835,,invention,year
gun,1835,,invention,year
punch card,1837,,invention,year
Sissi,1837,1898,person,year
photocamera,1839,,invention,year
bike,1839,,invention,year
Antonin Dvorak,1841,1904,person,year
icemachine,1843,,invention,year
Edvard Grieg,1843,1923,person,year
Telegramm,1844,,invention,year
Saxophon,1846,,invention,year
Pollock - Number 1,1847,1849,art,year
Realismus,1848,1890,epoch,year
Big Ben,1850,1859,art,year
Tower Bridge ,1850,1894,art,year
Deutscher Bund unter Oesterreich,1850,1866,event,year
Staatsstreich Napoleon III,1851,1853,event,year
Eisfabrik,1851,,invention,year
Aspirin,1852,,invention,year
Krimkrieg,1853,1856,event,year
Fahrstuhl,1853,,invention,year
van Gogh,1853,1890,person,year
Litfaß-Säule,1854,,invention,year
Dynamo,1854,,invention,year
Backpulver,1854,,invention,year
Stahlnutzung,1855,,invention,year
Dosenöffner,1855,,invention,year
plastic,1855,,invention,year
Freud,1856,1939,person,year
toiletpaper,1857,,invention,year
fridge,1859,,invention,year
telephone,1860,,invention,year
Gasmotor,1860,,invention,year
Viertakt-Motor,1860,,invention,year
Drahtseilbahn,1861,,invention,year
