node1,node2,category,comment,,,
Cronus,Rhea,partner,,,,
Doris,Nereus,partner,,,,
Erebus,Nyx,partner,,,,
Gaea,Tartarus,partner,,,,
Gaea,Uranus,partner,,,,
Helena,Menelaus,partner,,,,
Helena,Paris,partner,,,,
Helios,Perseis,partner,,,,
Hermes,Peitho,partner,,,,
Hermes,Dryope,partner,,,,
Hermes,Apemosyne,partner,,,,
Hermes,Chione,partner,,,,
Idyia,Aeetes,partner,,,,
Nyx,Moros,partner,,,,
Nyx,Oneiroi,partner,,,,
Nyx,Memesis,partner,,,,
Nyx,Momus,partner,,,,
Nyx,Philotes,partner,,,,
Nyx,Geras,partner,,,,
Nyx,Thanatos,partner,,,,
Nyx,Hypnos,partner,,,,
Nyx,Eris,partner,,,,
Nyx,Apate,partner,,,,
Nyx,Oizys,partner,,,,
Nyx,Moiae,partner,,,,
Oceanus,Tethys,partner,,,,
Persus,Andromeda,partner,,,,
Phadamanthys,Alcmene,partner,,,,
Theia,Hyperion,partner,,,,
Tyndareus,Leda,partner,,,,
Zeus,Demeter,partner,,,,
Zeus,Leto,partner,,,,
Zeus,Hera,partner,,,,
Zeus,Mnemosyne,partner,,,,
Zeus,Dione,partner,,,,
Zeus,Metis,partner,,,,
Zeus,Io,partner,,,,
Zeus,Alcmene,partner,,,,
Zeus,Semele,partner,,,,
Zeus,Eurynome,partner,,,,
Zeus,Europa,partner,,,,
Zeus,Danae,partner,,,,
Zeus,Leda,partner,,,,
